텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
안녕하세요. #{수신자명}님. 결제계좌 안내드립니다.  ▶ 은행명 : #{은행명} ▶ 계좌번호 : #{계좌번호} ▶ 결제금액 : #{결제금액}  자세한 내용은 홈페이지에서 확인해주세요. 감사합니다.,리포팅,요금청구,입금 요청 안내,JOBER0529_1655977925828,자세히 확인하기,,금융,공지/안내,,,
▶ 영업시간: #{영업시간} ▶ 전화문의: #{전화문의}  아래 버튼을 누르시면 자세한 내용을 확인하실 수 있습니다.,서비스이용,이용안내/공지,영업시간 안내,JOBER0529_1638842883167,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 오늘 받으신 서비스는 어떠셨나요? 고객님의 소중한 의견을 바탕으로 보다 더 나은 서비스를 제공하겠습니다. 오늘도 좋은 하루 보내세요~ 감사합니다.  문의사항은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,서비스 완료 안내,JOBER0529_1642986175285,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 구입해주셔서 감사합니다.  <상품정보> ▶상품명: #{상품명} ▶사용기간: #{사용기간}  앞으로도 많은 이용 부탁드립니다. 감사합니다.",서비스이용,이용안내/공지,구매알림,JOBER0529_1642986851508,자세히 확인하기,,소매업,공지/안내,,,
"#{수신자명} 고객님, 가입에 감사드립니다. 앞으로 더욱 나은 서비스 제공을 위해 노력하겠습니다. 고객님께서 가입하신 #{서비스}의 상품설명서는 #{확인처} 에서 확인 가능합니다.  확인 후 문의사항이 있으시면 고객센터로 연락주세요. 감사합니다.",서비스이용,이용안내/공지,상품 가입 안내,JOBER0529_1643015337275,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명}님, 고객님께서 주문하신 #{상품명} 상품이 준비되었습니다. 방문하여 수령해주시기 바랍니다.  주문 내역은 홈페이지에서 확인해주세요.  감사합니다.",구매,구매완료,입고 완료 안내,JOBER0529_1655976365393,자세히 확인하기,,소매업,예약,,,
"안녕하세요 #{수신자명}고객님, 주문하신 상품의 입금이 확인되었습니다.  ▶ 주문상품 : #{주문상품} ▶ 주문번호 : #{주문번호}  기다리시는 상품 최대한 빠르게 준비하겠습니다. 감사합니다.",구매,구매완료,입금 완료,JOBER0529_1655976663587,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요. #{수신자명}님, 멤버십에 가입 완료되었습니다.  ▶ 멤버십 : #{멤버십} ▶ 가입일 : #{가입일} ▶ 멤버십 혜택 안내 : #{멤버십 혜택 안내}  언제든 궁금한 사항이 있다면 홈페이지에 문의해주세요.  감사합니다.",회원,회원가입,멤버십 가입 완료,JOBER0529_1656223692051,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명}님,  현재 고객님이 주문해주신 상품의 주문량이 많아 입고가 늦어지고 있습니다. 가능한 빠르게 고객님에게 전달될 수 있도록 노력하겠습니다.  쇼핑에 불편을 드려 죄송합니다.",배송,구매완료,주문 지연 안내,JOBER0529_1638851026618,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, #{상품}상품 가입을 해주셔서 진심으로 감사 드립니다.  가입하신 상품의 주요 내용을 확인하시려면 아래 버튼을 클릭해 주세요.",구매,상품가입,상품 가입 감사 인사,JOBER0529_1638851192158,자세히 확인하기,,금융,회원 관리,,,
"#{수신자명}님, 새로운 경험을 전해드리는  입니다!  #{수신자명}님께서 신청하신 새로운 샘플이 입고되었습니다.  ▶샘플: #{샘플}  지금 바로 이용해 보세요!",서비스이용,이용도구,샘플 입고 안내,JOBER0529_1642987934862,자세히 확인하기,,기타,신청,,,
"안녕하세요, #{수신자명}님. 보험 가입이 완료되었습니다.  ▶보험명: #{보험명} ▶피보험 : #{피보험}  가입한 보험의 상세 내용은 보험 가입내역에서 확인하실 수 있습니다.",서비스이용,이용안내/공지,보험 가입 안내,JOBER0529_1642987801780,자세히 확인하기,,금융,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님의 입금이 확인 되었습니다. 감사합니다.",서비스이용,이용안내/공지,입금 확인,JOBER0529_1656053836360,자세히 확인하기,,금융,공지/안내,,,
"안녕하세요 #{수신자명}님, 재입고 알림 신청하신 제품이 입고되었습니다.  ▶ 신청 일자 : #{신청 일자} ▶ 제품명 : #{제품명}  현재 구매가 가능한 상품이니 확인 부탁드립니다. 감사합니다.",서비스이용,이용안내/공지,재입고 알림,JOBER0529_1656223629227,자세히 확인하기,,소매업,공지/안내,,,
▶ QR코드 : #{QR코드} ▶ 유효기간 : #{유효기간}  ※ 입장권은 유효기간 내에 사용하여 주시기 바랍니다.,기타,기타,입장 안내,JOBER0529_1638843465779,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}고객님,  최근에 경험하신 #{서비스} 전화 상담은 만족하셨나요?  아래 ‘바로 가기‘를 통해 만족도 설문조사에 응답해 주시면 감사하겠습니다.  응답 내용은 보다 나은 상담 서비스 제공을 위한 목적으로만 이용됩니다.  전화 상담 만족도 설문 참여 바로 가기 ▶#{만족도 설문링크}",서비스이용,피드백 요청,전화 상담 만족도 안내,JOBER0529_1642753474653,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 출입을 위한 정보 전달드립니다.  ▶ 아이디 : #{아이디} ▶ QR코드 : #{QR코드} ▶ 유효기간 : #{유효기간} ▶ 공지사항 : #{공지사항}  ※ 입실하시려면 QR 코드를 인식해주세요. ※ 유효기간 내에 사용해주세요.",서비스이용,이용안내/공지,출입 알림,JOBER0529_1656221857743,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명} 고객님,  바쁘신 중에도 전화 상담 만족도 설문에 의견을 주셔서 감사드립니다.  ▶ 설문 내용 : #{설문 내용} ▶ 설문일 : #{설문일}  불편 드린 점은 빠른 시일 내에 개선하고 만족스러운 서비스를 제공하겠습니다.  감사합니다.",서비스이용,이용안내/공지,상담 만족도 참여 감사,JOBER0529_1656222018112,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님이 요청하신 #{서비스} 작업이 완료되었습니다.  방문 부탁 드립니다. 감사합니다.",서비스이용,방문서비스,작업 완료 안내,JOBER0529_1638843081144,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, #{월} 월 고객님의 #{강의명} 수강료가 미납으로 확인되었습니다.  ▶ 입금자명 : #{입금자명} ▶ 결제금액 : #{결제금액}  미납 금액 #{결제금액} 원 신속한 수납 부탁드립니다.  감사합니다.",법적고지,주문/예약,수강료 미납 안내,JOBER0529_1655973746821,자세히 확인하기,,교육,공지/안내,,,
안녕하세요 #{수신자명} 고객님. 회원으로 가입해 주셔서 감사합니다.  회원님의 가입선물이 회원정보에 등록된 주소로 배송될 예정입니다.  ▶ 배송예정일 : #{배송예정일}  ※ 가입선물이 이미 발송되어 주소 변경은 불가한 점 참고 부탁드립니다.  감사합니다.,배송,배송예정,회원가입 선물 안내,JOBER0529_1655978177605,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명} 고객님, 회원가입 및 SNS 수신 동의에 감사드립니다.  ※ 수신 동의 취소는 홈페이지에서 진행하실 수 있습니다.  감사합니다.",서비스이용,이용안내/공지,회원가입 완료 안내,JOBER0529_1642750597339,자세히 확인하기,,서비스업,회원 관리,,,
요청하신 일정이 일정에 어려움이 있어 취소되었습니다.  ▶신청 일정명: #{신청 일정명} ▶요청한 날짜와 시간: #{요청일시}  아래의 버튼을 클릭하시면 강사의 일정을 확인하실 수 있습니다. 감사합니다.,서비스이용,방문서비스,거절 안내,JOBER0529_1643015944536,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요 #{수신자명}님, 회원가입이 완료되었습니다. 혜택을 안내드립니다.  ▶ 혜택 : #{혜택} ▶ 유효기간 : #{유효기간}  ※ 이 메시지는 고객님의 동의에 의해 지급된 혜택 안내 메시지입니다.",서비스이용,이용안내/공지,회원혜택안내,JOBER0529_1650507222259,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요. #{수신자명} 고객님, 회원이 되신 것을 진심으로 환영합니다.  회원가입 혜택으로 지금 #{상품} 구매 시 할인된 가격으로 구매하실 수 있습니다.  ※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",서비스이용,이용안내/공지,회원가입,JOBER0529_1650507513114,자세히 확인하기,,소매업,쿠폰,,,
"안녕하세요 #{수신자명}님, 에 예약해 주셔서 감사합니다. 예약하신 날짜와 예약금 안내 드립니다.  ▶ 예약일 : #{예약일} ▶ 예약금 : #{예약금}  예약금을 입금하시면 예약이 확정됩니다. 결제 기한까지 예약금을 입금하지 않으시면 예약이 취소됩니다.  자세한 내용은 홈페이지에서 확인해주세요.",예약,예약완료,예약금 안내,JOBER0529_1655797610883,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 예약하신 날짜의 예약금이 입금되지 않아 안내 드립니다. 입금 마감 시간까지 입금이 되지 않으면 예약이 취소됩니다.  ▶ 예약금 : #{예약금} ▶ 입금 계좌번호 : #{입금 계좌번호} ▶ 입금 기한 : #{입금 기한}  감사합니다.",예약,예약완료,예약금 미입금 알림,JOBER0529_1655797695849,자세히 확인하기,,서비스업,예약,,,
"안녕하세요. #{수신자명}님, 첫 수업이 예정되어 있습니다. 수업 일정을 확인해주세요.  ▶ 수업명 : #{수업명} ▶ 수업 일정 : #{수업 일정} ▶ 수업 장소 : #{수업 장소}  수업 일정 변경이 필요한 경우, 문의 부탁드립니다. 감사합니다.",서비스이용,이용안내/공지,수업 일정 안내,JOBER0529_1655975553181,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요 #{수신자명}님, 저희 제품을 믿고 구매해 주셔서 감사 드립니다. 항상 믿을 수 있는 제품으로 찾아뵐 수 있도록 노력하는 당사이 되겠습니다.  받아보신 제품에 이상이 있거나 문의 사항이 있을 경우 아래 버튼을 클릭하여 문의해 주세요.",서비스이용,이용안내/공지,구매 감사 인사,JOBER0529_1656052963305,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 기다리시던 #{서비스} 잘 받으셨나요? 이용 후기를 남겨주시면 #{상품}을 선물로 드립니다!  아래 링크를 클릭해 지금 후기를 작성해 보세요~",서비스이용,피드백 요청,이용 후기 이벤트,JOBER0529_1656053665915,자세히 확인하기,,서비스업,쿠폰,,,
안녕하세요. #{수신자명}님 회원 가입을 축하드립니다.  #{수신자명}님의 ▶ ID : #{ID}  에 가입해주셔서 감사합니다.  ▶ 고객센터 : #{고객센터},회원,회원가입,회원 가입 완료,JOBER0529_1655798155394,자세히 확인하기,,서비스업,회원 관리,,,
안녕하세요. 이용권이 지급되었습니다.  ▶ 회원번호 : #{회원번호} ▶ 등록이용권 : #{등록이용권} ▶ 이용기간 : #{이용기간}  문의사항은 아래 버튼을 클릭해주세요.  ※ 이 메시지는 고객님의 동의에 의해 지급된 이용권 안내 메시지입니다.,서비스이용,이용안내/공지,회원 가입,JOBER0529_1655798192604,자세히 확인하기,,서비스업,회원 관리,,,
안녕하세요 #{수신자명}님. 회원가입 신청이 승인되었습니다.  ▶ 회원명 : #{회원명} ▶ 승인일자 : #{승인일자}  아래 버튼을 클릭하여 여러 가지 정보를 확인해보세요.,서비스이용,이용안내/공지,회원 가입 승인 알림,JOBER0529_1655798299038,자세히 확인하기,,서비스업,회원 관리,,,
회원가입 신청이 거절되었습니다.  문의사항은 아래 버튼을 클릭해주세요.,서비스이용,이용안내/공지,회원 가입 거절 알림,JOBER0529_1655798724543,자세히 확인하기,,서비스업,회원 관리,,,
"#{수신자명}님, 환영합니다! 회원가입이 완료되었습니다.  신규 가입 시, 지급되는 쿠폰 내역을 알려드립니다.  ▶쿠폰명: #{쿠폰명} ▶유효기간: #{유효기간} ※유의사항: 쿠폰 사용 방법을 반드시 확인해 주세요.  회원가입을 해주셔서 감사합니다. 많은 이용 부탁드립니다.  ※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.",회원,회원가입,회원 가입 감사 메시지,JOBER0529_1656054052940,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요, #{수신자명}님, #{발신 스페이스} 입니다.  요금이 청구되었습니다. ▶청구요금 : #{청구요금}  자세한 청구 내역은 아래 버튼을 클릭해 주시기 바랍니다.",리포팅,요금청구,요금 청구 안내,JOBER0529_1642753675443,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 정기구독 안내 드립니다.  상품명 : #{상품명} 상품가격 : #{상품가격} 결제예정일 : #{결제예정일}  위 내용으로 정기구독 결제 및 배송이 진행될 예정입니다.  감사합니다.",구매,상품가입,정기구독 결제 안내,JOBER0529_1638851293059,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님의 자동 결제가 실행되었습니다.  충전 방식 : 월 정기 결제 시작 일시 : #{시작 일시} 충전 금액 : #{충전금액}원 다음 예상 결제일 : #{다음예상결제일}  결제를 취소하시려면 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,자동 결제 안내,JOBER0529_1638851385924,자세히 확인하기,,금융,공지/안내,,,
"안녕하세요 #{수신자명}님, 구매하신 상품의 구매확정이 완료되었습니다.  주문상품 : #{주문상품} 구매확정일 : #{구매확정일}",구매,구매완료,구매 확정 완료 안내,JOBER0529_1638851134028,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님의 주문(주문번호:#{주문번호})이의 환불 처리가 완료되었습니다. (환불금액:#{환불금액}원)",구매,구매완료,환불 처리 완료 안내,JOBER0529_1638851062172,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문해 주셔서 감사합니다. 주문하신 상품은 2~3일 정도 소요됩니다.  산간/도서 지역은 배송일이 추가적으로 소요될 수 있으며 상품의 재고 상황에따라 배송일이 다소 지연될 수 있으니 이점 양해하여주시기 바랍니다.  주문하신 상품의 재고 사정에 따라 주문 수량이 품절될 수 있으며,  품절 시 빠르게 확인하여 고객님께 안내드리겠습니다.  감사합니다.",배송,배송상태,주문 완료 안내,JOBER0529_1638850454092,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문이 정상적으로 취소 되었습니다.   ▶ 주문번호 : #{주문번호} ▶ 취소일시 : #{취소일시} ▶ 취소상품 : #{취소상품}  아래 버튼을 클릭하시면 상세한 취소내역을 확인하실 수 있습니다.",구매,구매취소,주문 최소 안내,JOBER0529_1638850536536,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문서가 도착했습니다. 확인하시려면 아래 링크를 눌러주세요.",배송,배송상태,주문서 도착 알림,JOBER0529_1638850932093,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 서비스가 해지되었습니다.  그동안를 이용해 주셔서 감사합니다.",서비스이용,이용안내/공지,서비스 해지 안내,JOBER0529_1638850958994,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, #{상품명} 정기배송이 정상 접수되었습니다. 앞으로 #{배송기간}개월간 매달 고객님을 위하여 프로그램을 준비해드리겠습니다.  감사합니다.",서비스이용,방문서비스,정기 배송 신청 완료,JOBER0529_1642987899693,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명} 님,  #{강의명} 결제 신청이 완료되었습니다.  공부를 시작하고자 결심한 지금 이 마음가짐이 변치 않도록 아래 입금기한까지 수강료 납부 후 학습을 시작하세요.  ▶입금금액: #{입금금액}원 ▶입금계좌: #{입금계좌}  감사합니다.",서비스이용,이용안내/공지,수강 연장 신청 안내,JOBER0529_1642987967069,자세히 확인하기,,교육,신청,,,
사전 구매 신청하신 #{상품명}이 재고 부족으로 마감되었습니다.  사전 구매 신청 인원이 많아 구매 마감되어 죄송합니다.  * 해당 메시지는 고객의 신청으로 발송되는 1회성 메시지입니다.,구매,구매취소,구매 마감 알림,JOBER0529_1642988001011,자세히 확인하기,,소매업,공지/안내,,,
"배달이 완료되었습니다. 감사합니다.  ▶ 주문내역 : #{주문내역} ▶ 주문번호 : #{주문번호} ▶ 배달주소 : #{배달주소}  맛있게 드시고, 다음에 또 이용해주세요.",서비스이용,이용안내/공지,배달 완료,JOBER0529_1655974827761,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요. #{수신자명}님, 수강신청 및 결제가 완료되었습니다.  <수강 신청 내역>  ▶ 수업과목 : #{수업과목} ▶ 수업일시 : #{수업일시} ▶ 수업기간 : #{수업기간}  감사합니다.",서비스이용,이용안내/공지,수강 신청 결제 완료 안내,JOBER0529_1655974885674,자세히 확인하기,,교육,신청,,,
안녕하세요. #{수신자명}님! #{수신자명}님의 소중한 주문 안내드립니다.  ▶ 날짜 : #{날짜} ▶ 주문번호 : #{주문번호} ▶ 금액 : #{금액}  감사합니다. 좋은 하루 되세요.,구매,구매완료,주문 안내,JOBER0529_1655975091728,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}님.  요청하신 취소 및 반품/교환 접수가 완료되었습니다.  ▶ ID : #{ID} ▶ 요청일 : #{요청일}  다음에는 더 좋은 상품으로 보답해드리겠습니다.,서비스이용,이용안내/공지,주문 취소 안내,JOBER0529_1655975311621,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요. #{수신자명} 고객님, 입니다.  고객님께서 구매하신 상품은 #{제한 요인} 상품으로 단순 변심으로 인한 교환/환불이 불가합니다.  제품 이상으로 인한 교환/환불은 가능하며, 문의 주시면 해결해드리겠습니다.  감사합니다.",구매,구매완료,교환/환불 안내,JOBER0529_1655975643846,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 진행하셨던 주문이 정상적으로 완료되지 않았습니다.  주문을 완료하시면, 영업일 내 #{배송 예정일} 안에 수령이 가능합니다.  주문 문의가 있으실 경우 홈페이지에 문의해주세요.",배송,배송상태,주문 확인 안내,JOBER0529_1655976077725,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 결제 시도하신 주문 건이 실패하여 안내 드립니다.  ▶ 주문번호 : #{주문번호} ▶ 실패사유 : #{실패사유}  자세한 내용은 결제내역에서 확인해주세요.",배송,배송실패,결제 실패,JOBER0529_1655976289174,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요, #{수신자명}님. 고객님의 주문이 정상적으로 접수되었습니다.  주문하신 상품은 입금이 완료되는대로 최대한 빠르게 발송하겠습니다.  ▶ 입금금액 : #{입금금액} ▶ 예금주명 : #{예금주명} ▶ 입금계좌 / 은행명명 : #{입금계좌 / 은행명명}  주문 후 입금 내역이 확인되지 않을 경우, 주문이 자동 취소됩니다. 감사합니다.",구매,구매완료,주문 완료,JOBER0529_1655976402386,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문 건에 대한 취소/반품 요청이 거절되었습니다.  ▶ 주문번호 : #{주문번호} ▶ 상품명 : #{상품명} ▶ 취소/반품 거절 사유 : #{취소/반품 거절 사유}  상세사유는 홈페이지에서 확인해주세요. 감사합니다.",구매,구매취소,취소/반품 거절 안내,JOBER0529_1655976530323,자세히 확인하기,,소매업,공지/안내,,,
