텍스트,분류 1차,분류 2차,keyword,code,자동 생성 제목
"
#{수신자명}님의 행사 예약이 변경되었습니다.
▶변경 예약 일시: #{변경 예약 일시}
▶주소: #{주소}
▶지참물: #{지참물}

▶기타 상세한 내용은 아래 버튼을 눌러주세요.",예약,예약상태,"행사,방문,예약,변경,수정,예약변경,예약변경안내,예약안내",IBWINGO3940_1642990448904,예약 변경 안내
"
▶성명: #{성명}
▶이전 예약일: #{이전 예약일}
▶예약 변경일 시: #{예약 변경일 시}

예약 취소 또는 변경사항이 있으실 경우 아래의 번호로 연락 부탁드립니다.

▶예약취소 및 변경 문의: #{문의 전화}",예약,예약상태,"예약,변경,예약변경,예약안내,예약취소,취소",IBWINGO3940_1642990481782,예약 변경
"[서비스 신청완료]

#{수신자명}님 #{서비스} 신청이 완료되었습니다.
아래 정보를 확인해주세요.

<상품정보>
▶상품명: #{상품명}
▶이용기간: #{이용기간}

<유의사항>
#{유의사항}",예약,예약상태,"구매,신청,정기,신청완료",IBWINGO3940_1642990538500,서비스 신청완료
"[#{서비스} 신청취소]

#{수신자명}님 #{서비스} 신청이 취소 완료되었습니다.
아래 정보를 확인해주세요.

<상품정보>
▶상품명: #{상품명}
▶취소일자: #{취소일자}

<신청자 정보>
#{신청자 정보}",예약,예약취소,"구매,정기,취소,상품취소,서비스취소,신청취소,신청",IBWINGO3940_1642990588948,서비스 신청취소
"[#{서비스} 신청]

#{수신자명}님 #{서비스} 신청이 접수되었습니다.
아래 정보를 확인하시고 일치하지 않는 경우 문의해주세요.

<상품정보>
▶상품명: #{상품명}
▶신청일자: #{신청일자}

<신청자 정보>
#{신청자 정보}",예약,예약상태,"구매,신청,정기,상품안내,상품신청안내,서비스신청",IBWINGO3940_1643014737054,서비스 신청
"
안녕하세요 #{수신자명}님,
고객님의 예약 정보를 안내해드립니다.

▶ 예약자명: #{예약자명}
▶ 예약일시: #{예약일시}
▶ 관련문의: #{관련문의}
▶ 주소: #{주소}

변경사항이 있으신 경우 24시간 전까지 연락 부탁드리며, 
예약시간에 늦지 않게 방문 부탁드립니다.

감사합니다.",예약,예약완료/예약내역,"예약,예약안내,예약정보,안내,예약알림",IBWINGO202_1638775537367,예약 안내
"
안녕하세요 #{수신자명}님,
고객님의 지난 예약 정보를 안내해드리며, 재예약을 원하시면 아래의 버튼을 클릭해 주세요.

▶ 환자명: #{환자명} 
▶ 지난예약: #{지난예약}",예약,예약알림/리마인드,"예약,재예약,재예약안내,예약안내,리마인드",IBWINGO202_1638775580817,재예약 안내
"
안녕하세요 #{수신자명}님,
예약이 확정 처리되었습니다.

[예약정보]
- 예약자명 : #{예약자명}
- 예약일자 : #{예약일자}
- 주소 : #{주소}

[코로나19 출입 안내사항]
출입 시 발열검사 및 코로나 문진을 시행합니다. 
출입에 대기가 발생할 수 있으므로 예약 시간 10분 전까지 미리 방문해 주시길 부탁드립니다.

자세한 정보는 아래의 버튼을 누르시면 확인하실 수 있습니다.",예약,예약완료/예약내역,"예약,예약확정,확정,예약안내,안내",IBWINGO202_1638768203195,예약 확정 안내
"
안녕하세요 #{수신자명}님,
고객님이 신청하신 #{예약명}이 #{예약상태} 상태입니다.

자세한 내용을 확인하시려면 아래 버튼을 눌러주세요.",예약,예약상태,"예약,예약상태,예약확인,예약안내,리마인드",IBWINGO202_1638768272710,예약 상태 안내
"
안녕하세요 #{수신자명}님,
고객님의 #{서비스} 예약이 취소되었습니다.

▶ 예약 번호 : #{예약 번호}",예약,예약취소,"예약,취소,예약취소,예약안내,취소알림",IBWINGO202_1638768320558,예약 취소 안내
"
안녕하세요 #{수신자명}님,
#{예약일자} 은 고객님 예약일입니다.
예약시간 변경 시 미리 연락주시기 바랍니다.

감사합니다.",예약,예약알림/리마인드,"예약,알림,예약알림,예약일,예약확인",IBWINGO202_1638768367517,예약 알림
"
안녕하세요 #{수신자명}님,
고객님 예약일에 스케줄이 갑작스럽게 변동이 되어 연락드렸습니다.
확인하시면 연락 부탁 드립니다.

[예약 시간 안내]
#{예약 시간 정보}",예약,예약상태,"스케줄,변동,스케줄변동,예약변동,예약",IBWINGO202_1638768417438,스케줄 변동 알림
"안녕하세요 #{수신자명}님,
#{예약일} 은 고객님 예약일입니다.

※ 예약하신 일정을 확인하시고 예약신청일과 시간에 방문 부탁드립니다.
※ 해당 일자에 방문이 불가하신 경우, 다른 고객분들이 체험 신청 할 수 있도록 예약취소 부탁드립니다.",예약,예약알림/리마인드,"예약,노쇼,예약알림,노쇼방지,리마인드",IBWINGO202_1638768486901,예약 안내
"
안녕하세요 #{수신자명}님,
경조사 안내해 드립니다.

▶ 경조사 : #{경조사}
▶ 일시 : #{일시}
▶ 오시는 길 : #{오시는 길}
▶ 유의사항 : #{유의사항}

유의사항을 확인하시고, 참석 부탁드립니다.
감사합니다.",업무알림,주문/예약,"경조사,경조사알림,사내,장례식,결혼식",IBWINGO3940_1656220658196,경조사 안내
"
안녕하세요 #{수신자명}님,
사내 일정을 알려드리오니, 일정 및 내용을 확인하시고 해당 되는 임직원 분들은 참여해주시기 바랍니다.

▶ 일정명 : #{일정명}
▶ 일시 : #{일시}
▶ 상세 내용: #{상세 내용}

※ 이 메시지는 임직원들 대상으로 전송되는 메시지입니다.",업무알림,내부 업무 알림,"사내,사내일정,일정,일정알림,내부업무",IBWINGO3940_1656220720986,사내 일정 알림
"
안녕하세요 #{수신자명}님,
사내 일정을 알려드립니다.

▶ 날짜: #{날짜}
▶ 상세내용: #{상세내용}",업무알림,내부 업무 알림,"사내,사내일정,일정,일정알림,내부업무",IBWINGO3940_1656053384287,사내 일정 알림
"
주문이 #{주문건수}건 접수되었습니다.
주문 배송처리를 해주세요.",업무알림,주문/예약,"배송,업무,주문,예약,사내,사내알림,업무알림",IBWINGO3940_1642743931659,배송 요청
"
▶예약번호 : #{예약번호}
▶예약자 : #{예약자}
▶예약 일정 : #{예약 일정}

예약 상세 내역은 홈페이지에서 로그인 후 확인하실 수 있습니다.",업무알림,주문/예약,"예약취소,예약,취소,사내업무,업무,업무알림",IBWINGO3940_1643014814492,고객 예약 취소
"
서비스 예약이 접수되었습니다.
관리자 페이지에서 예약을 승인해 주세요.",업무알림,주문/예약,"관리자,사내업무,예약,예약신청,주문,예약접수,업무알림",IBWINGO3940_1642744623496,서비스 예약 접수 안내
"
서비스 예약이 확정되었습니다.
관리자 페이지에서 예약 내용을 확인해 주세요.",업무알림,주문/예약,"관리자,사내업무,예약,예약완료,주문,업무알림",IBWINGO3940_1642744650735,서비스 예약 확정 안내
"
서비스 예약이 취소되었습니다.
관리자 페이지에서 취소된 예약 내용을 확인해 주세요.",업무알림,주문/예약,"관리자,사내업무,예약,예약취소,주문,취소,업무알림",IBWINGO3940_1642744679655,서비스 예약 취소 안내
"
안녕하세요, #{발신 스페이스}입니다.
#{수신자명}님 서비스 확정 안내드립니다.

▶주소 : #{주소}

자세한 서비스 예약 내역은 아래 버튼을 클릭해 주세요.",업무알림,주문/예약,"배정,배정완료,서비스,예약,업무,업무알림,고객",IBWINGO3940_1642744711535,배정 완료 알림
"
안녕하세요 #{발신 스페이스}입니다.
#{수신자명}님 서비스 일정 변경 안내드립니다.

▶변경사항
#{변경사항}",업무알림,주문/예약,"서비스,일정변경,변경,업무,주문,예약,고객,업무알림",IBWINGO3940_1642744825468,일정 변경 알림
"
안녕하세요 #{수신자명}님,
경조사 일정을 알려드립니다.

▶ 경조유형 : #{경조유형}
▶ 경조일시 : #{경조일시}
▶ 경조내역 : #{경조내역}",업무알림,주문/예약,"경조사,경조사알림,사내,장례식,결혼식",IBWINGO202_1638939192499,임직원 경조사 알림
"
안녕하세요 #{수신자명}님,
사내 일정을 알려드립니다.

▶ 날짜: #{날짜}
▶ 상세내용: #{상세내용}",업무알림,내부 업무 알림,"사내,사내일정,일정,일정알림,내부업무",IBWINGO202_1638768683763,사내 일정 알림
"
안녕하세요 #{수신자명}님,
예약이 발생했습니다.

▶ 예약 번호: #{예약 번호}
▶ 예약자: #{예약자}
▶ 상품명: #{상품명}

예약 상세 내역은 홈페이지에서 확인하실 수 있습니다.
예약 내역을 빨리 파악할수록 고객 응대에 도움이 됩니다.

오늘도 즐거운 하루 되세요.",업무알림,주문/예약,"업무,업무알림,예약,예약알림,사내업무",IBWINGO202_1638768726068,사내 예약 알림
"
안녕하세요 #{수신자명}님,
고객님께서 신청하신 방송이 지금 시작합니다.
 
▶ 방송명 : #{방송명}
▶ 방송 시작 시간 : #{방송 시작 시간}
 
※ 신청하신 방송은 당사의 운영에 따라 시간 혹은 내용이 변경될 수 있습니다.
※ 신청하신 시간에 라이브로 진행되며, 라이브가 종료된 후에는 녹화된 방송으로 확인하실 수 있습니다.",서비스이용,이용안내/공지,"방송알림,방송안내,방송시작,방송,라이브방송,방송시작안내",IBWINGO202_1638843425889,방송 알림
"
안녕하세요 #{수신자명}님,
항상 #{발신 스페이스}의 #{서비스명}를 이용해주셔서 감사합니다.

이용에 불편함이 없도록 항상 최선을 다하겠습니다. 감사합니다.",서비스이용,구매감사/이용확인,"감사인사,고객감사,이용감사,감사,구매감사,피드백",IBWINGO3940_1656053695393,이용 감사 인사
"
안녕하세요 #{수신자명}님, 
#{발신 스페이스}에서 휴무일 안내드립니다.

▶  휴무기간: #{휴무기간}",서비스이용,이용안내/공지,"휴무일,휴일,공지,휴무일안내,휴일안내",IBWINGO3940_1656054086308,휴무 안내
"
안녕하세요 #{수신자명}님,
기다리시던 #{서비스} 잘 받으셨나요?
이용 후기를 남겨주시면 #{상품}을 선물로 드립니다!

아래 링크를 클릭해 지금 후기를 작성해 보세요~",서비스이용,구매감사/이용확인,"리뷰,후기,이벤트,이용후기,피드백",IBWINGO3940_1656053665915,이용 후기 이벤트
"
안녕하세요. #{발신 스페이스}입니다.
#{수신자명}님 #{진료명} 진료 예약일입니다.

진료일 내원하여 면담이 필요합니다.

* 내원 전 연락주시면 진료시간 안내드리겠습니다.

<이용 안내>
▶ 운영 시간 : #{운영 시간}
▶ 정기 휴진일 : #{정기 휴진일}

감사합니다.",서비스이용,리마인드,"예약,리마인드,예약알림,예약안내,병원,진료안내,진료알림,내원,내원안내,병원진료",IBWINGO3940_1656222905540,진료 예약 알림
"
안녕하세요 #{수신자명}님,
고객님께서 신청하신 #{방송명}에 대해 미리 알림 드립니다.
 
▶ LIVE 명 : #{LIVE 명}
▶ LIVE 일시 : #{LIVE 일시}

늦지 않게 참여해주세요.
 
※ 신청하신 방송은 시간 혹은 내용이 변경될 수 있습니다.",서비스이용,이용안내/공지,"방송,라이브,방송알림,방송안내,공지방송,라이브알림,라이브시작",IBWINGO3940_1656222801838,방송 알림
"
안녕하세요 #{수신자명}님,
신청하신 #{발신 스페이스} 일정을 안내해 드립니다.

▶ 신청일 : #{신청일}
▶ 참가일 : #{참가일}
▶ 참가 시 주의사항 : 홈페이지에서 신청해주세요.

※ 이 메시지는 신청하신 회원들에게 전송되는 1회성 메시지입니다.",서비스이용,이용안내/공지,"참가안내,참가,일정안내,일정,이용안내,참가일정",IBWINGO3940_1656222366020,참가 일정 안내
"
안녕하세요 #{수신자명}님,
고객님께서 문의하신 매장 이전 안내드립니다.
보다 나은 서비스 제공을 위하여 매장을 이전하였습니다.

▶ 매장 위치 : #{매장 위치}

※ 중단 기간 및 내용은 상황에 따라 변경될 수 있습니다.

저희 #{발신 스페이스}을 이용해주시는 고객님들께 감사드리며, 더욱 노력하는 #{발신 스페이스}이 되겠습니다.",서비스이용,이용안내/공지,"매장이전,이전안내,매장변경,재오픈,매장위치이전",IBWINGO3940_1656222333455,매장 이전 안내
"
안녕하세요 #{수신자명}님,
구매에 감사드리며 #{서비스} 이용권이 지급되었습니다.

▶ 이용권 : #{이용권}
▶ 혜택 : #{혜택}
▶ 유효기간 : #{유효기간}

※ 이 메시지는 고객님의 구매에 의해 지급된 이용권 안내 메시지입니다.",서비스이용,이용안내/공지,"이용,이용권,지급,혜택,이용안내",IBWINGO3940_1656222300068,이용권 안내
"
안녕하세요 #{수신자명}님,
상담 예약 시간이 변경 되어 안내해 드립니다.

▶ 변경된 상담일시 : #{변경된 상담일시}
▶ 전화 번호 : #{전화 번호}
▶ 상담 내용 : #{상담 내용}

일정에 착오 없으시길 바랍니다.
감사합니다.",서비스이용,이용안내/공지,"상담,변경,일정,일정변경,이용안내",IBWINGO3940_1656222395111,상담 시간 변경 안내
"
안녕하세요 #{수신자명}님,
#{발신 스페이스}에서 고객님께서 요청하신 신규 발간 안내해 드립니다.

▶ 상품명 : #{상품명}
▶ 발간일 : #{발간일}

※ 이 메시지는 정기 발간 안내를 요청하신 회원에게 전송되는 메시지입니다.",서비스이용,이용안내/공지,"신규,발간,발간안내,발행,출간",IBWINGO3940_1656222434696,신규 발간 안내
"
안녕하세요 #{수신자명}님,
이번 #{교육명} 교육을 신청해주신 회원님께 감사드리며 교육 내용 안내해 드립니다.

▶ 교육명 : #{교육명}
▶ 교육 내용 : #{교육 내용}
▶ 교육 일시 : #{교육 일시}

교육에 대한 자세한 사항은 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,"교육,교육안내,수업,강의,강연",IBWINGO3940_1656303910583,교육 안내
"
안녕하세요 #{수신자명}님,
#{교육명} 수업이 예정되어 있습니다.
수업 일정을 확인하시고 착오 없이 참여해주세요.

▶ 수업명 : #{수업명}
▶ 수업 일시 : #{수업 일시}
▶ 수업 내용 : #{수업 내용}

※ 수업에 늦는 경우 수업에 참여할 수 없을 수 있으니, 시간 엄수 부탁드립니다.

감사합니다.",서비스이용,이용안내/공지,"일정,수업,강의,교육,일정안내",IBWINGO3940_1656222510909,일정 안내
"
안녕하세요 #{수신자명}님,
고객님의 라이선스가 곧 만료 예정입니다.

▶ 라이선스 : #{라이선스}
▶ 만료 예정일 : #{만료 예정일}

라이선스 갱신은 홈페이지에서 진행해주세요.
감사합니다.",서비스이용,이용안내/공지,"라이선스,갱신,만료,만기,종료",IBWINGO3940_1656222700679,라이선스 갱신 안내
"
안녕하세요 #{수신자명}님, 
문의가 정상적으로 접수되었습니다.

▶ 문의서 제목 : #{문의서 제목}
▶ 문의 내용 : #{문의 내용}
▶ 답변 예정일 : #{답변 예정일}

최대한 빠른 시일 내에 답변하도록 노력하겠습니다. 감사합니다.",서비스이용,신청접수,"문의,등록,문의접수,문의등록,문의안내",IBWINGO3940_1656222733078,문의 접수 안내
"
안녕하세요 #{수신자명}님,
상담문의에 답변이 등록되었습니다.

▶ 문의 제목 : #{문의 제목}
▶ 상담사 : #{상담사}
▶ 답변 내용 : #{답변 내용}

자세한 답변 내용은 홈페이지에서 확인해주세요.",서비스이용,처리완료,"문의,완료,처리완료,문의안내,완료안내",IBWINGO3940_1656222762173,문의 답변 완료 안내
"
안녕하세요 #{수신자명}님,
티켓 발급이 완료되어 사용 방법 안내해 드립니다.

▶ 티켓명 : #{티켓명}
▶ 사용 기간 : #{사용 기간}
▶ 티켓 번호 : #{티켓 번호}
▶ 사용 방법 : #{사용 방법}

※ 시용 기간이 지나면 티켓 사용은 불가합니다.

※ 이 메시지는 구매하신 티켓 발급 안내 메시지입니다.",서비스이용,이용도구,"이용도구,티켓,발급안내,입장,출입안내",IBWINGO3940_1656222825275,티켓 안내
"
안녕하세요 #{수신자명} 고객님,
구매하신 공연 티켓이 발급 완료되어 안내해 드립니다.

▶ 공연명 : #{공연명}
▶ 공연 일시 : #{공연 일시}
▶ 티켓 번호 : #{티켓 번호}
▶ 유의 사항 : #{유의 사항}

공연 일시 및 유의 사항을 확인하시고 즐거운 관람되세요~

감사합니다.",서비스이용,리마인드,"공연,예매,예약,공연안내,행사,예약안내,일정안내,일정,공연알림",IBWINGO3940_1656305142514,공연 안내
"
안녕하세요 #{발신 스페이스}입니다.
#{수신자명}님께서 요청하신 정기검진 시기 안내입니다.
정기적인 검진으로 건강 관리하세요.

▶ 검진일 : #{검진일}
▶ 전화번호 : #{전화번호}

검진 신청은 홈페이지에서 진행해주세요.

감사합니다.",서비스이용,리마인드,"병원,검진,정기검진,검진알림,내원,검진안내,정기검진안내,일정안내",IBWINGO3940_1656222883571,정기 검진 안내
"
안녕하세요 #{수신자명}님,
수술 예약 안내드립니다.

▶ 수술 날짜 : #{수술 날짜}
▶ 수술명 : #{수술명}
▶ 주의 사항 : #{주의 사항}

전달해드린 주의사항을 꼭 준수하시고 예약일에 뵙겠습니다.

방문 전 궁금하신 사항은 언제든 답변해드리겠습니다. 감사합니다.",서비스이용,리마인드,"병원,예약,수술,예약알림,일정,내원,수술일정,수술안내,예약안내",IBWINGO3940_1656222932956,수술 예약 안내
"
안녕하세요 #{수신자명}님,
경험해보신 샘플은 어떠셨나요?
어제 신청하신 샘플 안내드립니다.

▶샘플이름: #{샘플이름}
▶수령가능기간: #{수령가능기간}

사용하신 샘플을 이용하시고, 후기를 남겨주시면 소정의 혜택을 지급해드립니다.

▶ 혜택 : #{혜택}

감사합니다.

※ 이 메시지는 샘플 안내를 신청하신 회원님들께 지급해드리는 혜택 안내 메시지입니다.",서비스이용,리마인드,"후기,리뷰,샘플,서비스,리마인드,사용후기,샘플안내",IBWINGO3940_1656223287484,신청 샘플 안내
"
안녕하세요 #{수신자명}님,
현재 대기 시간은 #{대기시간}시간 입니다.

▶ 접수 번호 : #{접수 번호}
▶ 상담 신청 내용 : #{상담 신청 내용}

근처에서 대기해 주시기바랍니다.

순서 호출시 자리에 없을 경우 예약이 취소될 수 있습니다.",서비스이용,리마인드,"대기,순서,상담,서비스,순서알림,서비스안내,순번,순번알림",IBWINGO3940_1656223323350,대기 순서 안내
"
배차 결과 안내해 드립니다.

▶ 출발지 및 도착지 : #{출발지 및 도착지}
▶ 기사님 연락처 : #{기사님 연락처}
▶ 요금 : #{요금}

이용해주셔서 감사합니다.",서비스이용,리마인드,"배차안내,배차,버스,기차,비행기,항공권",IBWINGO3940_1656223358013,배차 안내
"
안녕하세요. #{발신 스페이스}입니다.
#{수신자명}님이 대여하신 #{대여물품}가 아직 반납이 되지 않아 연락드립니다.

▶ 대여 물품 : #{대여 물품}
▶ 반납 기한 : #{반납 기한}

반납 기한이 지나지 않게 반납해주시기 바랍니다.
감사합니다.",서비스이용,리마인드,"반납,도서,리마인드,서비스,회수,반납알림",IBWINGO3940_1656223388435,반납 알림
"
안녕하세요 #{수신자명} 멤버님.
#{발신 스페이스}입니다.

#{발신 스페이스}에서 시작되는 #{교육명} 온라인 라이브 교육 안내해 드립니다.
온라인 수업은 #{수업 방식}으로 진행되며 접속 시, 메일로 드리는 안내문 참고 부탁드립니다.

※ 강연 입장 시, 오디오 OFF 설정 부탁드립니다.
※ 늦지 않게 입장해주세요.",서비스이용,이용안내/공지,"개강,학원,수업,개강안내,수강,학교,교육",IBWINGO3940_1656223827929,개강 안내
"
안녕하세요 #{수신자명}님,
#{과정명} 과정의 휴강 안내해 드립니다.

▶ 과정명 : #{과정명}
▶ 휴강일 : #{휴강일}

위 기간내 모든 강의가 휴강되며 #{일자}부터 정상적인 수업이 진행됩니다.
강의 시간표는 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,"휴무일,휴무,휴원,공휴일,진료,휴강일,휴강,학원,학교",IBWINGO3940_1656320607735,휴강 안내
"
안녕하세요 #{수신자명} 고객님,
수선이 완료되었습니다.

▶ 수선품목 : #{수선품목}
▶ 전화번호 : #{전화번호}
▶ 영업시간 : #{영업시간}

언제나 최고의 서비스를 제공하겠습니다.
항상 #{영업시간}을 이용해주셔서 감사합니다.",서비스이용,처리완료,"수선,수선완료,완료,서비스완료,세탁소,의류",IBWINGO3940_1656223887074,수선 완료 알림
"
#{수신자명}님의 [#{시험명}] 시험 접수가 완료되었습니다. 시험 일정 및 장소 안내드리니, 확인하시고 착오 없이 시험 보시기 바랍니다.

▶ 시험 : #{시험}
▶ 시험일 : #{시험일}
▶ 시험장소 : #{시험장소}

#{수신자명}님의 합격을 기원합니다.",서비스이용,신청접수,"시험,접수,신청,시험접수,시험신청,시험장,시험일,시험일정,시험안내",IBWINGO3940_1656224088442,시험 접수 완료 안내
"
안녕하세요. #{수신자명}님.
#{발신 스페이스}에서 퇴실 안내해 드립니다.

▶ 이용자명 : #{이용자명}
▶ 퇴실 예정일 : #{퇴실 예정일}

<퇴실 시 유의사항>
#{유의사항}

방문해주셔서 감사드리며, 좋은 시간 보내시기 바랍니다.

#{발신 스페이스}",서비스이용,이용안내/공지,"퇴실,만료,시간,사용완료",IBWINGO3940_1656224173114,퇴실 안내
"
안녕하세요. #{발신 스페이스}에 지원해 주셔서 감사합니다.
면접 일정 안내해 드리오니, 확인하시어 참석 부탁드립니다.

▶ 면접일 : #{면접일}
▶ 면접 시간 : #{면접 시간}
▶ 면접 장소 : #{면접 장소}

추가 문의사항은 고객센터로 문의 부탁드립니다.
감사합니다.",서비스이용,이용안내/공지,"면접,채용,면접안내,일정,일정안내",IBWINGO3940_1656224194665,면접 일정 안내
"
안녕하세요 #{수신자명}님,
A/S 신청 내역 안내해 드립니다.
본인이 신청하지 않은 경우 연락 부탁드립니다.

▶ 제품명 : #{제품명}
▶ AS 신청 제품 : #{AS 신청 제품}
▶ 고객센터 : #{고객센터}

A/S는 순차적으로 진행이 되며, 추가 문의가 있으신 경우 고객센터로 문의해주세요.",서비스이용,신청접수,"접수,AS,as,고장,신고,신청,고객센터,수리",IBWINGO3940_1656224228978,접수 완료 안내
"
안녕하세요 #{수신자명}님,
#{발신 스페이스} 이용에 감사드립니다.

사전 신청하신 신규 서비스가 출시되어 안내 드립니다.

▶ 서비스 : #{서비스}
▶ 출시일 : #{출시일}

자세한 내용은 홈페이지에서 확인해주세요.
감사합니다.",서비스이용,이용안내/공지,"서비스,신규,신규서비스,서비스안내,출시",IBWINGO3940_1656053408056,신규 서비스 출시 안내
"
안녕하세요 #{수신자명}님,
수업 일정 안내 드립니다.

▶ 수업명 : #{수업명}
▶ 수업일정 : #{수업일정}

수업 일정을 확인하시어 수업 시작전 미리 입장해 주세요.
감사합니다.",서비스이용,이용안내/공지,"일정,수업,강의,교육,일정안내",IBWINGO3940_1656053490726,일정 안내
"
안녕하세요 #{수신자명}님,
#{발신 스페이스} 교육 진행 안내 드립니다.

▶ 교육: #{교육}
▶ 내용: #{내용}

자세한 내용은 홈페이지에서 확인해주세요.
감사합니다.",서비스이용,이용안내/공지,"교육,교육안내,수업,강의,강연",IBWINGO3940_1656053537411,교육 안내
"
안녕하세요 #{수신자명}님,
고객님의 #{서비스}가 완료되었습니다.
방문하셔서 찾아가주시기 바랍니다.

항상 #{발신 스페이스}를 찾아주셔서 감사합니다.

▶ 찾아오시는 길: #{찾아오시는 길}",서비스이용,처리완료,"서비스,완료,처리완료,서비스완료,방문",IBWINGO3940_1656053806545,서비스 완료 알림
"
안녕하세요 #{발신 스페이스} 고객 서비스입니다. 
고객 님께서 요청하신 방문 예약이 다음과 같이 접수되어 안내 드립니다.

▶주소: #{주소}
▶접수내용: #{접수내용}

자세한 접수 내역을 보시려면 아래 버튼을 클릭해 주세요.",서비스이용,방문서비스,"방문,서비스,방문서비스,예약,방문안내,일정안내,서비스안내,서비스예약,예약완료,예약접수,예약",IBWINGO3940_1656053886788,방문 일정 안내
"
안녕하세요. #{수신자명}님,
수강신청이 접수되었습니다.

<수강 신청 내역>

▶ 수업과목 : #{수업과목}
▶ 수업일시 : #{수업일시}
▶ 수업기간 : #{수업기간}

수업 시작 날짜 전까지 결제하셔야 수강이 가능합니다.
감사합니다.",서비스이용,신청접수,"수업,수강,보강,강의,학원,학교,교육,보강안내,수강신청,신청",IBWINGO3940_1655974377659,수강 신청 접수 완료 안내
"
안녕하세요 #{수신자명} 고객님,
요청하신 수선이 완료되었습니다.
방문하여 의류를 회수해주세요.

▶ 고객명 : #{고객명}
▶ 수선품목 : #{수선품목}
▶ 영업시간 : #{영업시간}

항상 #{발신 스페이스}을 이용해주셔서 감사합니다.",서비스이용,처리완료,"수선,수선완료,완료,서비스완료,세탁소,의류",IBWINGO3940_1655974466946,수선 완료 안내
"
#{수신자명}님의 #{시험명} 시험 접수가 완료되었음을 알려드립니다.

▶ 시험 : #{시험명}
▶ 시험일 : #{시험일}
▶ 시험장소 : #{시험장소}

#{수신자명}님의 합격을 기원합니다.",서비스이용,신청접수,"시험,접수,신청,시험접수,시험신청,시험장,시험일,시험일정,시험안내",IBWINGO3940_1655975425837,시험 접수 완료 안내
"
#{수신자명}님의 #{시험명} 시험 결과가 발표되었습니다.
홈페이지에 방문하여 시험 결과 확인 부탁드립니다.

감사합니다.",서비스이용,처리완료,"시험,결과,시험결과,합격,불합격,시험일,시험결과",IBWINGO3940_1655975512508,시험 결과 안내
"
안녕하세요. #{수신자명}님,
#{수업명} 첫 수업이 예정되어 있습니다.
수업 일정을 확인해주세요.

▶ 수업명 : #{수업명}
▶ 수업 일정 : #{수업 일정}
▶ 수업 장소 : #{수업 장소}

수업 일정 변경이 필요한 경우, 문의 부탁드립니다.
감사합니다.",서비스이용,이용안내/공지,"수업,일정,수업일정,일정안내,강의,학원,학교,첫,첫수업",IBWINGO3940_1655975553181,수업 일정 안내
"
안녕하세요. #{수신자명}님.
퇴실 시간이 임박하여 안내드립니다.

▶ 지점 : #{지점}
▶ 아이디 : #{아이디}
▶ 퇴실 시간 : #{퇴실 시간}

이용해 주셔서 감사합니다.",서비스이용,이용안내/공지,"퇴실,만료,시간,사용완료",IBWINGO3940_1655977200788,퇴실 알림
"
안녕하세요 #{수신자명}고객님,
#{발신 스페이스} 이용 안내드립니다.

▶ 입실일 : #{입실일}
▶ 퇴실일 : #{퇴실일}
▶ 주의사항 :
#{주의사항}

주의사항 확인하시고 편안하게 이용해주세요.
감사합니다.",서비스이용,이용안내/공지,"이용,이용안내,객실,대여,룸,공간,공간대여",IBWINGO3940_1655977357229,이용 안내
"
안녕하세요 #{수신자명}님. #{발신 스페이스}입니다.
면접 장소 및 일정 안내드립니다.

▶ 일시 : #{일시}
▶ 장소 : #{장소}

면접 시간을 준수해 주시기 바라며, 좋은 인연으로 만날 수 있길 기대하겠습니다.
감사합니다.",서비스이용,이용안내/공지,"면접,채용,면접안내,일정,일정안내",IBWINGO3940_1655977474400,면접 일정 안내
"
안녕하세요 #{수신자명}님,
A/S 신청이 접수되었습니다.

▶ 제품명 : #{제품명}
▶ 연락처 : #{연락처}
▶ 주소 : #{주소}

방문 일정이 확정되면 재 안내 드리도록 하겠습니다.
A/S는 순차적으로 진행이 되며, 추가 문의가 있으신 경우 문의 부탁드립니다.",서비스이용,신청접수,"접수,AS,as,고장,신고,신청,고객센터,수리",IBWINGO3940_1655977512649,접수 완료 안내
"
안녕하세요. #{수신자명}님.
고객님의 상담 요청이 접수되었습니다.

▶ 접수일자 : #{접수일자}
▶ 상담사 : #{상담사}
▶ 상담일정 : #{상담일정}

상담사가 배정되었습니다.
감사합니다.",서비스이용,신청접수,"접수,신청,상담,문의,상담문의,상담접수,상담신청",IBWINGO3940_1655977584952,상담 신청 안내
"
안녕하세요. #{수신자명}님.
주문해주신 상품의 배송이 완료되었습니다. 제품 사용에 참고하실 수 있는 설명서를 안내 드립니다.

▶ 제품명 : #{제품명}

사용 중 문의사항이 있으신 경우 아래 홈페이지에 문의해주세요.
감사합니다.",서비스이용,이용도구,"제품,주문,상품,구입,설명서,사용방법,사용",IBWINGO3940_1655977686541,제품 사용 방법 안내
"
안녕하세요. #{수신자명}고객님.
오늘 구매하신 제품은 어떠셨나요?

아래 설문조사를 통해 고객님의 솔직한 의견을 말씀해주세요.

고객님의 소중한 의견을 통해 좀 더 나은 서비스를 제공하도록 하겠습니다.
감사합니다.",서비스이용,피드백 요청,"고객만족도조사,만족도조사,설문,설문조사,만족도,고객만족도",IBWINGO3940_1655977744550,만족도 조사 안내
