,템플릿 코드,템플릿 이름,템플릿 내용,카테고리,서브카테고리,제안 버튼명
,JOBER0411_1655976402386,주문 완료,"안녕하세요, #{수신자명}님.
 고객님의 주문이 정상적으로 접수되었습니다.
 
 주문하신 상품은 입금이 완료되는대로 최대한 빠르게 발송하겠습니다.
 
 ▶ 입금금액 : #{입금금액}
 ▶ 예금주명 : #{예금주명}
 ▶ 입금계좌 / 은행명명 : #{입금계좌 / 은행명명}
 
 주문 후 입금 내역이 확인되지 않을 경우, 주문이 자동 취소됩니다.
 감사합니다.",구매,구매완료,확인하기
,JOBER0411_1655976530323,취소/반품 거절 안내,"안녕하세요 #{수신자명}님,
 주문 건에 대한 취소/반품 요청이 거절되었습니다.
 
 ▶ 주문번호 : #{주문번호}
 ▶ 상품명 : #{상품명}
 ▶ 취소/반품 거절 사유 : #{취소/반품 거절 사유}
 
 상세사유는 홈페이지에서 확인해주세요.
 감사합니다.",구매,구매취소,확인하기
,JOBER0411_1656053746952,주문 내역 안내,"안녕하세요 #{수신자명}님,
 주문내역을 알려드립니다. 
 
 ▶ 주문번호 : #{주문번호}
 ▶ 주문일시 : #{주문일시}
 ▶ 주문상품 : #{주문상품}
 
 아래 버튼을 클릭하시면 상세한 주문내역을 확인하실 수 있습니다.",구매,구매완료,확인하기
,JOBER0411_1656224018793,품절 취소 안내,"#{수신자명} 고객님, 주문하신 상품이 갑자기 품절되어 연락 드립니다.
 
 ▶ 상품명 : #{상품명}
 ▶ 주문내역 : #{주문내역}
 
 다른 상품으로 교환 또는 환불 처리 도와드리도록 하겠습니다.
 어떤 처리를 원하시는지 연락 부탁드립니다.
 번거롭게 해드려 죄송합니다.
 
 ▶ 고객센터 : #{고객센터}",구매,구매취소,확인하기
,JOBER0411_1656295901041,환불 안내,"#{수신자명}님께서 신청하신 환불이 완료 처리되었습니다.
 
 ▶ 주문 번호 : #{주문 번호}
 ▶ 취소 상품 : #{취소 상품}
 ▶ 환불 금액 : #{환불 금액}
 
 취소일로부터 2~7일 이내 결제 수단으로 승인 취소 확인이 가능하며 카드 결제일에 따라 카드사를 통해 환불됩니다..
 
 관련하여 궁금하신 부분이나 자세한 사항을 확인하시고 싶으신 경우 홈페이지 또는 고객센터로 문의주세요.",구매,구매취소,확인하기
,JOBER0411_1656221892031,결제금액 변동 안내,"안녕하세요 #{수신자명}님, 
 상품을 주문하는 과정에서 차액이 발생하여 결제 금액이 변동되었음을 안내해 드립니다.
 
 ▶ 상품명 : #{상품명}
 ▶ 변동 후 결제금액 : #{변동 후 결제금액}
 ▶ 차액 : #{차액}
 
 고객님이 요청하신 결제일에 변동 후 금액이 결제됩니다. 기타 문의가 있는 경우 고객센터 또는 홈페이지에 문의해주세요.",구매,구매완료,결제하기
,JOBER0411_1656221967071,재고 안내,"안녕하세요.
 알림 신청하신 상품의 재고가 다시 채워져 안내해 드립니다.
 
 ▶ 상품명 : #{상품명}
 ▶ 신청자 : #{신청자}
 
 해당 상품의 자세한 내용은 홈페이지에서 확인해주세요.
 
 감사합니다.",구매,구매완료,확인하기
,JOBER0411_1655978266581,구매 확정 요청,"안녕하세요 #{수신자명}고객님,
 입니다.
 
 주문하신 상품 배송이 완료되었습니다.
 
 ▶ 상품명 : #{상품명}
 ▶ 주문번호 : #{주문번호}
 
 배송 받으신 상품이 마음에 드셨다면 지금 바로 구매 확정해주세요.
 구매 확정을 해주시면 추가 혜택이 지급됩니다.
 자세한 내용은 홈페이지에서 확인해주세요.",구매,구매완료,확인하기
,JOBER0411_1656053916450,배송 출고 안내,"안녕하세요. #{수신자명}님께서 구매하신 #{상품명}}(이)가 금일 배송출고 되었습니다.
 
 ▶배송업체: #{배송업체}
 ▶운송장번호: #{운송장번호}
 
 구매해 주셔서 감사합니다.",구매,구매완료,자세히보기
,JOBER0411_1655977794431,리뷰 작성 요청,"#{수신자명}님, 안녕하세요.
 #{발신 스페이스}입니다.
 
 구매하신 상품은 마음에 드셨나요?
 #{발신 스페이스}에서 구매해 주셔서 감사합니다.
 
 #{발신 스페이스}에서는 고객님의 소중한 후기를 기다리고 있습니다.
 구매하신 상품에 대한 리뷰를 작성해주세요.
 
 감사합니다.",구매,구매완료,후기작성
,JOBER0411_1642743931659,배송 요청,"주문이 #{주문건수}건 접수되었습니다.
 주문 배송처리를 해주세요.",구매,구매완료,신청하기
,JOBER0411_1656305210642,혜택 안내,"안녕하세요 #{수신자명}님,
 #{수신자명}님께서 제품을 구매하시면서 신청하신 혜택이 도착했습니다!
 혜택을 확인하시고 이용해보세요.
 
 ▶ 아이디 : #{아이디}
 ▶ 혜택 : #{혜택}
 ▶ 사용기한 : #{사용기한}
 
 ※ 이 메시지는 고객님의 혜택 신청에 의해 발송되는 혜택 안내 메시지입니다.",구매,구매완료,확인하기
,JOBER0411_1638843465779,입장 안내,"▶ QR코드 : #{QR코드}
 ▶ 유효기간 : #{유효기간}
 
 ※ 입장권은 유효기간 내에 사용하여 주시기 바랍니다.",기타,기타,자세히보기
,JOBER0411_1642751962331,광고캠페인 오픈,"#{수신자명}님,
 광고캠페인이 진행 중입니다.
 
 ▶광고 이름: #{광고 이름}
 ▶금액: #{금액}원
 
 * 해당 캠페인 오픈 알림 메시지는 고객님의 신청에 의해 발송됩니다.",기타,기타,신청하기
,JOBER0411_1655977925828,입금 요청 안내,"안녕하세요. #{수신자명}님.
 결제계좌 안내드립니다.
 
 ▶ 은행명 : #{은행명}
 ▶ 계좌번호 : #{계좌번호}
 ▶ 결제금액 : #{결제금액}
 
 자세한 내용은 홈페이지에서 확인해주세요.
 감사합니다.",리포팅,요금청구,확인하기
,JOBER0411_1642753675443,요금 청구 안내,"안녕하세요, #{수신자명}님,
 #{발신 스페이스} 입니다.
 
 요금이 청구되었습니다.
 ▶청구요금 : #{청구요금}
 
 자세한 청구 내역은 아래 버튼을 클릭해 주시기 바랍니다.",리포팅,요금청구,확인하기
,JOBER0411_1642753347509,광고캠페인 승인 완료,"#{수신자명}님,
 신청하신 광고캠페인이
 검토를 마치고 승인되었습니다.
 
 ▶광고: #{광고}
 ▶금액: #{금액} 원
 ▶진행 기간: #{진행 기간}
 
 감사합니다.",리포팅,피드백,신청하기
,JOBER0411_1642753303230,광고캠페인 진행 불가 안내,"#{수신자명}님,
 신청하신 광고캠페인은
 검토 결과 진행이 거절되었습니다
 
 ▶광고: #{광고}
 ▶거절 이유: #{거절 이유}
 
 다른 제안이 들어올 수 있도록
 광고를 먼저 찜 해보세요.",리포팅,피드백,신청하기
,JOBER0411_1656222203928,정산 완료 안내,"#{수신자명}님의 이번 달 정산이 완료되었습니다.
 
 ▶ 정산액 : #{정산액}
 ▶ 입금은행 : #{입금은행}
 ▶ 입금계좌 : #{입금계좌}
 
 앞으로도 많은 이용 부탁드려요.
 감사합니다.",리포팅,요금청구,결제하기
,JOBER0411_1642748624420,이벤트/혜택 정보 수신 거부 안내,"안녕하세요. 이용해 주셔서 감사합니다.
 본 메시지는 개인정보보호법에 따라 광고성 정보 수신 여부를 확인하기 위해 발송되었습니다.
 
 ▶수신거부 일자 : #{수신거부 일자}
 ▶수신거부 항목 : 이벤트/혜택 정보(마케팅) 수신거부",리포팅,뉴스레터,확인하기
,JOBER0411_1638851026618,주문 지연 안내,"안녕하세요 #{수신자명}님, 
 현재 고객님이 주문해주신 상품의 주문량이 많아 입고가 늦어지고 있습니다.
 가능한 빠르게 고객님에게 전달될 수 있도록 노력하겠습니다.
 
 쇼핑에 불편을 드려 죄송합니다.",배송,배송예정,자세히보기
,JOBER0411_1655978177605,회원가입 선물 안내,"안녕하세요 #{수신자명} 고객님.
 회원으로 가입해 주셔서 감사합니다.
 
 회원님의 가입선물이 회원정보에 등록된 주소로 배송될 예정입니다.
 
 ▶ 배송예정일 : #{배송예정일}
 
 ※ 가입선물이 이미 발송되어 주소 변경은 불가한 점 참고 부탁드립니다.
 
 감사합니다.",배송,배송예정,확인하기
,JOBER0411_1638850454092,주문 완료 안내,"안녕하세요 #{수신자명}님,
 주문해 주셔서 감사합니다.
 주문하신 상품은 2~3일 정도 소요됩니다.
 
 산간/도서 지역은 배송일이 추가적으로 소요될 수 있으며
 상품의 재고 상황에따라 배송일이 다소 지연될 수 있으니 이점 양해하여주시기 바랍니다.
 
 주문하신 상품의 재고 사정에 따라 주문 수량이 품절될 수 있으며, 
 품절 시 빠르게 확인하여 고객님께 안내드리겠습니다.
 
 감사합니다.",배송,배송상태,확인하기
,JOBER0411_1638850932093,주문서 도착 알림,"안녕하세요 #{수신자명}님,
 주문서가 도착했습니다.
 확인하시려면 아래 링크를 눌러주세요.",배송,배송상태,확인하기
,JOBER0411_1655976077725,주문 확인 안내,"안녕하세요 #{수신자명}님,
 진행하셨던 주문이 정상적으로 완료되지 않았습니다.
 
 주문을 완료하시면,
 영업일 내 #{배송 예정일} 안에 수령이 가능합니다.
 
 주문 문의가 있으실 경우 홈페이지에 문의해주세요.",배송,배송상태,확인하기
,JOBER0411_1655976289174,결제 실패,"안녕하세요 #{수신자명}님,
 결제 시도하신 주문 건이 실패하여 안내 드립니다.
 
 ▶ 주문번호 : #{주문번호}
 ▶ 실패사유 : #{실패사유}
 
 자세한 내용은 결제내역에서 확인해주세요.",배송,배송실패,확인하기
,JOBER0411_1656223976832,배달 취소 안내,"안녕하세요 #{수신자명}님,
 배달이 취소되었습니다.
 취소된 내역을 확인하시고 본인이 주문하시지 않은 경우 연락 부탁드립니다.
 
 ▶ 주문 일시 : #{주문 일시}
 ▶ 주문 내역 : #{주문 내역}
 ▶ 취소 내역 : #{취소 내역}
 
 다시 주문을 하시려면 아래 ""주문하기"" 를 눌러주세요.",배송,배송상태,확인하기
,JOBER0411_1656224059698,결제 완료,"안녕하세요. #{수신자명}님!
 결제가 완료되었습니다.
 
 ▶ 주문 상품 : #{주문 상품}
 ▶ 주문 번호 : #{주문 번호}
 ▶ 금액 : #{금액}
 
 배송이 시작되면 알려드리겠습니다.
 감사합니다.",배송,배송상태,결제하기
,JOBER0411_1656224111719,반품 접수 완료 안내,"안녕하세요 #{수신자명}님,
 반품 신청이 #{반품신청 상태} 되었습니다.
 
 ▶ 수거예정일 : #{수거예정일}
 ▶ 상품정보 : #{상품정보}
 ▶ 수거지 주소 : #{수거지 주소}
 
 ※ 환불 안내 : 상품 수거 후 결제 취소 예정
 
 감사합니다.",배송,배송상태,확인하기
,JOBER0411_1643003957754,당일 배송 지연 안내,"안녕하세요 #{수신자명}님,
 현재 교통상황으로 인해 당일배송으로 수령하시는 상품의 배송시간이 지연될 수 있어 안내드립니다.
 
 #{배송 예전시각} 이전까지는 배송이 완료될 것으로 예상되며, 최대한 빠르게 배송해드릴 수 있도록 최선을 다하겠습니다.
 
 ▶배송업체: #{배송업체}
 ▶송장번호: #{송장번호}
 
 감사합니다.",배송,배송상태,자세히보기
,JOBER0411_1643003972128,배송 도착 예정 시간 안내,"안녕하세요. #{수신자명} 고객님.
 
 주문하신 상품이 아래 시간에 도착할 예정입니다.
 
 ▶도착예정시간: #{도착예정시간}
 ▶배송업체: #{배송업체}
 ▶송장번호: #{송장번호}
 
 #{서비스}을 이용해 주셔서 감사합니다.",배송,배송예정,자세히보기
,JOBER0411_1642987086529,배송 연기 안내,"안녕하세요 #{수신자명}님,
 이번 주 발송 예정이던 #{상품명}의 품질이 너무 좋지 못하여 다음 주로 배송을 연기하고자 합니다.
 
 조금만 기다려주시면 좋은 품질의 물건으로 보답해드리겠습니다.
 
 ▶배송 예정 시작일 : #{배송 예정 시작일}
 
 배송이 연기된 점 양해 부탁 드리며, 항상 이용해 주셔서 감사합니다.",배송,배송예정,자세히보기
,JOBER0411_1643003565334,송장번호 변경 안내,"안녕하세요. #{수신자명}님.
 주문하신 상품의 송장번호가 변경되었습니다.
 
 ▶택배사: #{택배사}
 ▶주문번호: #{주문번호}
 ▶송장번호: #{송장번호}
 
 확인 부탁드립니다.
 감사합니다.",배송,배송상태,확인하기
,JOBER0411_1642987732262,배송 실패 안내,"안녕하세요 #{수신자명} 고객님,
 고객님이 주문하신 상품이 출고 되었으나, 택배 파업으로 인해 고객님 배송지로 도착하지 못하고 저희 측으로 반송되었습니다. 현재 파업으로 인해 재출고 또한 하지 못하는 상황입니다.
 
 주문건을 취소하실지 혹은 파업 종료시까지 대기하실지 확인하여 전화 주시면 감사하겠습니다.
 
 불편을 드려 죄송합니다.
 
 ▶고객센터: #{고객센터}",배송,배송실패,확인하기
,JOBER0411_1650346717889,개별 배송 안내,"안녕하세요 #{수신자명}님,
 구매하신 #{상품명} 상품은 묶음배송이 불가하여, 부득이하게 개별배송됩니다.
 
 궁금하신 점은 아래 전화로 문의 주세요.
 ▶ 고객센터 : #{고객센터}
 
 조금만 기다려주세요!
 감사합니다!",배송,배송상태,자세히보기
,JOBER0411_1650346772803,배송 주소지 확인 알림,"안녕하세요 #{수신자명}님,
 #{상품명}이 배송될 예정입니다.
 배송지 변경을 원하시는 경우 또는 주소가 정상적으로 입력되지 않은 경우
 아래 주소에서 변경 부탁드리겠습니다.",배송,배송상태,확인하기
,JOBER0411_1650346800880,배송 완료 안내,"안녕하세요. #{수신자명}님,
 주문하신 상품이 배송 완료되었습니다.
 
 ▶주문번호: #{주문번호}
 ▶송장번호: #{송장번호}
 ▶택배사 : #{택배사}
 
 이용해주셔서 감사합니다. 구매하신 상품이 마음에 드셨다면, 소중한 리뷰를 남겨주세요.",배송,배송완료,자세히보기
,JOBER0411_1655974512178,수선 완료 배송 예정 안내,"안녕하세요 #{수신자명}님,
 고객님께서 요청하신 상품의 수선이 완료 되어 발송 예정입니다.
 
 ▶ 택배사 : #{택배사}
 ▶ 송장번호 : #{송장번호}
 ▶ 상품명 : #{상품명}
 
 배송은 2~3일 정도 소요됩니다.
 감사합니다.",배송,배송예정,자세히보기
,JOBER0411_1655975270167,상품 발송,"안녕하세요. #{수신자명}님.
 
 주문하신 상품이 발송 되었습니다.
 
 ▶ 주문자명 : #{주문자명}
 ▶ 날짜 : #{날짜}
 ▶ 상품명 : #{상품명}
 ▶ 택배사 : #{택배사}
 ▶ 운송장번호 : #{운송장번호}
 
 공휴일 제외 1~2일 내에 배송될 예정입니다.",배송,배송상태,자세히보기
,JOBER0411_1655978098998,배달 안내,"고객님께서 예약하신 음식을 내일 요청하신 시간에 맞춰 배달해드릴 예정입니다.
 
 자세한 정보는 아래 홈페이지에서 확인해주세요.
 
 이용을 감사드립니다.",배송,배송예정,확인하기
,JOBER0411_1655978227613,배송 완료,"안녕하세요 #{수신자명} 고객님.
 주문하신 제품이 배송 완료되었습니다.
 
 ▶ 주문번호 : #{주문번호}
 ▶ 배송업체 : #{배송업체}
 ▶ 송장번호 : #{송장번호}
 
 구매하신 제품은 잘 받아보셨나요?
 오늘도 제품을 구매해주셔서 감사합니다.",배송,배송완료,자세히보기
,JOBER0411_1655978342533,출고 완료 안내,"안녕하세요. #{수신자명}고객님.
 주문하신 상품이 출고 완료되었습니다.
 
 ▶ 택배사 : #{택배사}
 ▶ 운송장번호 : #{운송장번호}
 
 빠르고 안전한 배송을 위해 최선을 다하겠습니다.
 감사합니다.",배송,배송완료,자세히보기
,JOBER0411_1656052794783,배송 출발 안내,"안녕하세요 #{수신자명}님,
 주문하신 상품의 배송이 시작되었습니다.
 
 ▶ 주문상품명 : #{주문상품명}
 ▶ 송장번호 : #{송장번호}
 ▶ 택배사명 : #{택배사명}
 
 상세한 정보는 아래 배송조회 통해 확인해 주세요.",배송,배송상태,확인하기
,JOBER0411_1656053987456,배송 지연 안내,"안녕하세요 #{수신자명}님,
 주문하신 제품이 배송 지연 중입니다.
 
 ▶지연사유: #{지연사유}
 ▶예상 배송 시작일: #{예상 배송 시작일}
 ▶배송업체: #{배송업체}
 ▶송장번호: #{송장번호}
 
 빠른 배송을 위해 최선을 다하겠습니다.
 감사합니다.",배송,배송상태,자세히보기
,JOBER0411_1656054279846,배송 예상 도착 시간 서비스,"안녕하세요. #{수신자명}님의 상품이 #{배송 예정일}에 도착 예정입니다.
 
 배송 예상 도착 시간은 교통상황에 따라 변경될 수 있습니다.
 
 정확한 예상 도착 시간 서비스를 위해 출입 시 현관 비밀번호가 있을 경우 홈페이지 고객센터에 말씀해주세요.
 
 <주문정보>
 ▶ 송장번호 : #{송장번호}
 ▶ 택배사 : #{택배사}
 ▶ 상품명 : #{상품명}
 
 감사합니다.",배송,배송상태,확인하기
,JOBER0411_1656293628944,상품 부분 발송,"안녕하세요 #{수신자명}님,
 주문하신 제품을 부분 발송하였습니다.
 
 나머지 제품도 최대한 빠른 시일 내에 받아보실 수 있도록 노력하겠습니다!
 조금만 기다려주세요.
 
 ▶ 택배사 : #{택배사}
 ▶ 송장번호 : #{송장번호}
 ▶ 상품명 : #{상품명}
 
 공휴일 제외 1~3일 내에 배송될 예정입니다.
 
 감사합니다.",배송,배송상태,자세히보기
,JOBER0411_1656053513850,제품 발송 안내,"안녕하세요. #{수신자명}님,
 #{수신자명}님의 제품이 발송되었습니다.
 
 ▶택배사: #{택배사}
 ▶송장번호: #{송장번호}
 ▶제품명: #{제품명}
 
 단순히 제품을 판매하는 것에서 그치는 것이 아니라, 제품을 모두 다 사용하실 때까지 만족하실 수 있도록 더욱 노력하겠습니다.
 사용하시면서 궁금하신 점이나 불편하신 점 있으시면 문의해주세요.
 
 오늘도 건강하고 행복한 하루 되세요.
 감사합니다.",배송,배송상태,자세히보기
,JOBER0411_1656053861355,배송 정보 안내,"안녕하세요. #{수신자명}님, 주문하신 택배 배송 정보 전달드립니다.
 
 ▶배송업체: #{배송업체}
 ▶주문번호: #{주문번호}
 ▶운송장번호: #{운송장번호}
 
 아래 버튼을 클릭하시면 더 자세한 정보를 보실 수 있습니다.",배송,배송상태,확인하기
,JOBER0411_1656223436212,배송 안내,"주문하신 #{제품명} 제품이 #{발신 스페이스}에서 발송되어 배송중입니다.
 
 해외 배송중에는 송장조회 시, 발송 전으로 노출되지만 세관 통과 후 국내 택배로 인계되면 배송조회가 가능합니다.
 
 ▶ 수령 예상일 : #{수령 예상일}
 
 감사합니다.",배송,배송상태,확인하기
,JOBER0411_1655977686541,제품 사용 방법 안내,"안녕하세요. #{수신자명}님.
 주문해주신 상품의 배송이 완료되었습니다. 제품 사용에 참고하실 수 있는 설명서를 안내 드립니다.
 
 ▶ 제품명 : #{제품명}
 
 사용 중 문의사항이 있으신 경우 아래 홈페이지에 문의해주세요.
 감사합니다.",배송,배송완료,자세히보기
,JOBER0411_1656220921731,연체 대기,"#{수신자명}님 안녕하세요
 현재 고객님의 아래 주문 건의 결제가 진행되지 않아 '연체 대기' 상태가 되었습니다.
 
 ▶ 주문번호 : #{주문번호}
 ▶ 상품명 : #{상품명}
 ▶ 결제금액 : #{결제금액}원
 ▶ 결제 기한일 : #{결제 기한일}
 
 결제 기한이 마감될 때까지 결제가 완료되지 않을 경우, '연체' 상태로 변경되오니 결제 기한일까지 확인 부탁드립니다.",배송,배송상태,확인하기
,JOBER0411_1655973746821,수강료 미납 안내,"안녕하세요 #{수신자명}님,
 #{월} 월 고객님의 #{강의명} 수강료가 미납으로 확인되었습니다.
 
 ▶ 입금자명 : #{입금자명}
 ▶ 결제금액 : #{결제금액}
 
 미납 금액 #{결제금액} 원
 신속한 수납 부탁드립니다.
 
 감사합니다.",법적고지,주문/예약,확인하기
,JOBER0411_1638780343487,환급액 안내,"안녕하세요 #{수신자명}님,
 세금환급액은 약 #{환급액}원입니다.
 
 계좌에 입금이 안 된 경우, 국세청 계좌등록이 안되어 있으신 경우라, 세무서에서 환급통지서로 발송이 되어 환급받으실 수 있으니 통지서 확인 부탁드립니다.
 
 감사합니다.",법적고지,주문/예약,확인하기
,JOBER0411_1656053723228,미납안내,"안녕하세요 #{수신자명}님,
 고객님의 #{이용서비스} 가
 미납으로 확인되어 연락 드립니다. 
 
 아직 수납하지 못하셨다면
 #{수납처} 로 빠른 수납 부탁드리겠습니다.
 
 ▶ 관련문의 : #{관련문의}
 
 감사합니다.",법적고지,주문/예약,확인하기
,JOBER0411_1656222050933,계약 완료 안내,"#{수신자명}님 안녕하세요.
 
 변경 계약체결이 완료되었습니다.
 
 ▶ 계약 번호 : #{계약 번호}
 ▶ 계약 금액 : #{계약 금액}
 ▶ 계약자 : #{계약자}
 
 <계약서 조회 방법>
 #{조회 방법}
 
 감사합니다.",법적고지,주문/예약,확인하기
,JOBER0411_1643015154812,개인 정보 이용내역 안내,"안녕하세요, 발신 스페이스입니다.
 
 개인정보보호법에 따라 제공하신 개인 정보 이용내역을 안내드립니다. (연 1회 안내)
 
 1. 개인 정보의 수집, 이용 목적 및 수집한 개인 정보의 항목
 ▶개인 정보 수집 항목 : 개인 정보 수집 항목
 ▶개인 정보 이용 목적
 이용 목적
 
 2. 개인 정보를 제공받는 자와 그 제공 목적 및 제공한 개인 정보의 항목
 ▶개인 정보 제공하는 곳 없음.
 
 수신자명 회원님의 개인 정보 이용내역과 현황은 홈페이지 > 개인 정보처리 방침에서 확인하실 수 있습니다.",법적고지,주문/예약,확인하기
,JOBER0411_1656221364576,약관변경 안내,"안녕하세요 #{수신자명}님,
 이용약관이 #{일자}부터 아래와 같이 변경됨을 알려드립니다.
 
 ▶ 개정 전
 #{이전약관}
 
 ▶ 개정 후
 #{변경약관}
 
 ※ 본 메시지는 이용약관에 동의한 회원에게 전송되는 메시지입니다.",법적고지,주문/예약,자세히보기
,JOBER0411_1656222700679,라이선스 갱신 안내,"안녕하세요 #{수신자명}님,
 고객님의 라이선스가 곧 만료 예정입니다.
 
 ▶ 라이선스 : #{라이선스}
 ▶ 만료 예정일 : #{만료 예정일}
 
 라이선스 갱신은 홈페이지에서 진행해주세요.
 감사합니다.",법적고지,주문/예약,자세히보기
,JOBER0411_1638842883167,영업시간 안내,"▶ 영업시간: #{영업시간}
 ▶ 전화문의: #{전화문의}
 
 아래 버튼을 누르시면 자세한 내용을 확인하실 수 있습니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1642986175285,서비스 완료 안내,"안녕하세요 #{수신자명}님,
 오늘 받으신 서비스는 어떠셨나요?
 고객님의 소중한 의견을 바탕으로 보다 더 나은 서비스를 제공하겠습니다.
 오늘도 좋은 하루 보내세요~ 감사합니다.
 
 문의사항은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1642986851508,구매알림,"안녕하세요 #{수신자명}님,
 구입해주셔서 감사합니다.
 
 <상품정보>
 ▶상품명: #{상품명}
 ▶사용기간: #{사용기간}
 
 앞으로도 많은 이용 부탁드립니다.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1643015337275,상품 가입 안내,"#{수신자명} 고객님,
 가입에 감사드립니다.
 앞으로 더욱 나은 서비스 제공을 위해 노력하겠습니다.
 고객님께서 가입하신 #{서비스}의 상품설명서는 #{확인처} 에서 확인 가능합니다.
 
 확인 후 문의사항이 있으시면 고객센터로 연락주세요. 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1642987934862,샘플 입고 안내,"#{수신자명}님,
 새로운 경험을 전해드리는 
 입니다!
 
 #{수신자명}님께서 신청하신 새로운 샘플이 입고되었습니다.
 
 ▶샘플: #{샘플}
 
 지금 바로 이용해 보세요!",서비스이용,이용도구,신청하기
,JOBER0411_1642987801780,보험 가입 안내,"안녕하세요, #{수신자명}님.
 보험 가입이 완료되었습니다.
 
 ▶보험명: #{보험명}
 ▶피보험 : #{피보험}
 
 가입한 보험의 상세 내용은 보험 가입내역에서 확인하실 수 있습니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656053836360,입금 확인,"안녕하세요 #{수신자명}님,
 고객님의 입금이 확인 되었습니다.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656223629227,재입고 알림,"안녕하세요 #{수신자명}님,
 재입고 알림 신청하신 제품이 입고되었습니다.
 
 ▶ 신청 일자 : #{신청 일자}
 ▶ 제품명 : #{제품명}
 
 현재 구매가 가능한 상품이니 확인 부탁드립니다.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1642753474653,전화 상담 만족도 안내,"안녕하세요 #{수신자명}고객님,
 
 최근에 경험하신 #{서비스} 전화 상담은 만족하셨나요?
 
 아래 ‘바로 가기‘를 통해 만족도 설문조사에 응답해 주시면 감사하겠습니다.
 
 응답 내용은 보다 나은 상담 서비스 제공을 위한 목적으로만 이용됩니다.
 
 전화 상담 만족도 설문 참여 바로 가기
 ▶#{만족도 설문링크}",서비스이용,피드백 요청,예약하기
